stairs.thisTrialN,stairs.stepSize,stairs.intensity,text.started,text.stopped,corrAns,tilt,key_resp.corr,fixation.started,fixation.stopped,grating.started,grating.stopped,stairs.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,13.43224032499711,None,left,-10.0,1,18.44294593900122,18.957181445999595,18.924073223999585,19.223836669996672,1,2.0010566100027063,18.924073223999585,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
1,2,8.0,,,right,8.0,1,20.97255863499595,21.473847173998365,21.440632436999294,21.740792669996154,1,0.5635738409982878,21.440632436999294,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
2,2,6.0,,,right,6.0,1,22.023057058999257,22.524056016998657,22.491069905001495,22.80754021699977,1,0.4221908280014759,22.491069905001495,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
3,2,4.0,,,right,4.0,1,22.93986718999804,23.440910097997403,23.407462310002302,23.72415388799709,1,0.4306465940026101,23.407462310002302,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
4,2,2.0,,,left,-2.0,1,23.857590396997693,24.357679406995885,24.324368260000483,24.62430162000237,1,0.43671856400032993,24.324368260000483,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
5,2,1.0,,,left,-1.0,1,24.790927155001555,25.2913340649975,25.274411009995674,25.57428028999857,1,0.40465900999697624,25.274411009995674,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
6,2,1.0,,,left,-1.0,1,25.70721643199795,26.207426909997594,26.17426731500018,26.47457833399676,1,0.512651374003326,26.17426731500018,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
7,2,1.0,,,right,1.0,1,26.707579417001398,27.207762108999304,27.174645252001937,27.47444499300036,1,0.4933188639988657,27.174645252001937,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
8,2,1.0,,,right,1.0,1,27.69114177799929,28.19088128599833,28.157667399995262,28.457804728001065,1,0.4451263639930403,28.157667399995262,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
9,1,1.0,,,right,1.0,0,28.624645529998816,29.124469859001692,29.091173966000497,29.39131951899617,0,0.43373041699669557,29.091173966000497,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
10,1,2.0,,,right,2.0,1,29.55781273899629,30.058096545995795,30.041166777002218,30.341103086000658,1,0.6399781959989923,30.041166777002218,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
11,1,2.0,,,right,2.0,1,30.707922385998245,31.207952817996556,31.17467061700154,31.474722004997602,1,0.5119599429963273,31.17467061700154,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
12,1,2.0,,,left,-2.0,1,31.70797814999969,32.208138037000026,32.17438210299588,32.47480045600241,1,0.43127568600175437,32.17438210299588,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
13,0.5,1.0,,,right,1.0,0,32.624886819001404,33.12484287999541,33.10819611899933,33.42502521300048,0,0.43348994799453067,33.10819611899933,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
14,0.5,1.5,,,right,1.5,1,33.57492561399704,34.07447275600134,34.041660424998554,34.3417700400023,1,0.6858696610070183,34.041660424998554,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
15,0.5,1.5,,,left,-1.5,1,34.75630139900022,35.25644472499698,35.22303046900197,35.52315015299973,1,0.47955140200065216,35.22303046900197,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
16,0.5,1.5,,,left,-1.5,1,35.72381715600204,36.22506074100238,36.191656254995905,36.49130407899793,1,0.5517507549957372,36.191656254995905,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
17,0.5,1.0,,,left,-1.0,1,36.774970259997644,37.27497405000031,37.24211554900103,37.541669705999084,1,1.1437142489958205,37.24211554900103,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
18,0.5,1.0,,,right,1.0,1,38.40845677199832,38.90865129699523,38.87522581200028,39.175269163999474,1,0.5441464890027419,38.87522581200028,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
19,0.5,1.0,,,left,-1.0,1,39.44198837899603,39.95668677800131,39.92335523899965,40.22374871499778,1,0.48183302499819547,39.92335523899965,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
20,0.5,1.0,,,left,-1.0,1,40.425264225996216,40.92536909299815,40.891717657999834,41.19208015000186,1,0.44050795800285414,40.891717657999834,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
21,0.5,1.0,,,left,-1.0,1,41.35892457299633,41.85876642000221,41.82536270499986,42.12548895800137,1,0.4329205240064766,41.82536270499986,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
22,0.5,1.0,,,left,-1.0,0,42.27535656400141,42.77559091599687,42.75897478099796,43.05891052499646,0,0.47122277599555673,42.75897478099796,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
